WORD,FREQUENCY 
camp,2 
commoners,2 
creatures,2 
holiday,2 
ought,2 
leather,2 
hope,2 
safe,2 
what,2 
mend,2 
fellow,2 
awl,2 
but,2 
shoes,2 
see,2 
triumph,2 
chariot,2 
cruel,2 
infants,2 
underneath,2 
shores,2 
triumph,2 
knees,2 
fault,2 
sort,2 
draw,2 
exalted,2 
moved,2 
towards,2 
images,2 
feast,2 
lupercal,2 
hung,2 
drive,2 
growing,2 
wing,2 
touch,2 
holy,2 
calls,2 
music,2 
sennet,2 
quick,2 
observe,2 
late,2 
perhaps,2 
shows,2 
passion,2 
itself,2 
reflection,2 
heard,2 
immortal,2 
speaking,2 
groaning,2 
ages,2 
wishd,2 
discover,2 
fawn,2 
long,2 
aught,2 
good,2 
favor,2 
raw,2 
leap,2 
flood,2 
swim,2 
lusty,2 
help,2 
creature,2 
nod,2 
mark,2 
color,2 
groan,2 
drink,2 
temper,2 
start,2 
fault,2 
stars,2 
yours,2 
fair,2 
name,2 
mouth,2 
lost,2 
breed,2 
fathers,2 
train,2 
spot,2 
brow,2 
calpurnias,2 
pale,2 
crossd,2 
nights,2 
yond,2 
thinks,2 
given,2 
deeds,2 
plays,2 
behold,2 
chanced,2 
ask,2 
chanced,2 
marry,2 
manner,2 
foolery,2 
had,2 
choked,2 
laugh,2 
lips,2 
soft,2 
wound,2 
marketplace,2 
falling,2 
fell,2 
ope,2 
hell,2 
amiss,2 
heed,2 
another,2 
heads,2 
news,2 
silence,2 
worth,2 
blunt,2 
digest,2 
disposed,2 
tending,2 
opinion,2 
holds,2 
sure,2 
lightning,2 
sides,2 
stare,2 
rived,2 
seen,2 
ambitious,2 
swell,2 
clouds,2 
civil,2 
saucy,2 
twenty,2 
joind,2 
by,2 
swore,2 
yesterday,2 
prodigies,2 
fashion,2 
voice,2 
earth,2 
walkd,2 
unbraced,2 
bosom,2 
seemd,2 
open,2 
heavens,2 
send,2 
sparks,2 
cast,2 
quality,2 
state,2 
opens,2 
graves,2 
lion,2 
personal,2 
action,2 
limbs,2 
ancestors,2 
woe,2 
governd,2 
sufferance,2 
sea,2 
italy,2 
bondage,2 
deliver,2 
therein,2 
strong,2 
tyrants,2 
strength,2 
weary,2 
bears,2 
trash,2 
foot,2 
already,2 
porch,2 
walking,2 
terrible,2 
close,2 
stayd,2 
paper,2 
praetors,2 
chair,2 
window,2 
repair,2 
bestow,2 
parts,2 
already,2 
next,2 
sits,2 
go,2 
spurn,2 
truth,2 
ambitions,2 
whereto,2 
prevent,2 
grow,2 
closet,2 
flint,2 
bed,2 
etc,2 
redress,2 
often,2 
mans,2 
knocking,2 
knocks,2 
between,2 
thing,2 
buried,2 
evils,2 
prevention,2 
wish,2 
whisper,2 
fret,2 
confess,2 
sun,2 
higher,2 
swear,2 
oath,2 
souls,2 
each,2 
valor,2 
women,2 
prick,2 
oath,2 
honesty,2 
priests,2 
souls,2 
promise,2 
mens,2 
deeds,2 
judgement,2 
ruled,2 
wildness,2 
touchd,2 
urged,2 
prevent,2 
envy,2 
hounds,2 
rage,2 
make,2 
necessary,2 
clock,2 
terror,2 
augurers,2 
lions,2 
flatterers,2 
given,2 
fresh,2 
purposes,2 
constancy,2 
asleep,2 
slumber,2 
care,2 
draws,2 
condition,2 
head,2 
foot,2 
did,2 
humor,2 
steal,2 
sickness,2 
unfold,2 
seven,2 
secrets,2 
comfort,2 
dwell,2 
catos,2 
proof,2 
render,2 
how,2 
vouchsafe,2 
exploit,2 
before,2 
fierce,2 
form,2 
horses,2 
dying,2 
princes,2 
seeing,2 
entrails,2 
shame,2 
elder,2 
own,2 
knee,2 
decius,2 
dreamt,2 
statue,2 
smiling,2 
bathe,2 
lo,2 
fears,2 
early,2 
oclock,2 
strucken,2 
courtesy,2 
store,2 
reading,2 
defend,2 
lover,2 
suitor,2 
fates,2 
iv,2 
madam,2 
shouldst,2 
side,2 
tween,2 
might,2 
else,2 
sickly,2 
listen,2 
wind,2 
nothing,2 
lady,2 
suit,2 
knowst,2 
intended,2 
chance,2 
heels,2 
crowd,2 
metellus,2 
read,2 
humble,2 
touches,2 
mad,2 
thrive,2 
slay,2 
prefer,2 
quality,2 
cur,2 
pardon,2 
rank,2 
olympus,2 
kneel,2 
liberty,2 
proclaim,2 
caesars,2 
harm,2 
rushing,2 
abide,2 
pleasures,2 
cuts,2 
stoop,2 
swords,2 
heads,2 
liberty,2 
oft,2 
country,2 
royal,2 
deserved,2 
thorough,2 
satisfied,2 
swords,2 
age,2 
bleeding,2 
leaden,2 
reverence,2 
credit,2 
dearer,2 
corse,2 
bayd,2 
hart,2 
prickd,2 
indeed,2 
spectacle,2 
moreover,2 
consent,2 
permission,2 
contented,2 
rites,2 
funeral,2 
lived,2 
tide,2 
shed,2 
wounds,2 
dumb,2 
utterance,2 
objects,2 
behold,2 
burial,2 
coming,2 
weep,2 
sorrow,2 
mourning,2 
hie,2 
take,2 
lend,2 
rendered,2 
last,2 
lovers,2 
demand,2 
loved,2 
country,2 
pause,2 
question,2 
glory,2 
crownd,2 
sake,2 
corse,2 
speech,2 
beholding,2 
sake,2 
rid,2 
bury,2 
evil,2 
fill,2 
methinks,2 
begins,2 
testament,2 
hair,2 
ring,2 
leave,2 
mantle,2 
overcame,2 
judge,2 
stab,2 
traitors,2 
revenged,2 
flood,2 
griefs,2 
plain,2 
patience,2 
abroad,2 
brands,2 
charge,2 
something,2 
whither,2 
dwell,2 
married,2 
bachelor,2 
briefly,2 
going,2 
briefly,2 
conspirator,2 
slight,2 
proscription,2 
ass,2 
having,2 
tried,2 
soldier,2 
perils,2 
answered,2 
enemies,2 
regard,2 
received,2 
conference,2 
gallant,2 
spur,2 
sink,2 
army,2 
content,2 
softly,2 
armies,2 
commanders,2 
wrongd,2 
condemnd,2 
itching,2 
palm,2 
sell,2 
justice,2 
rash,2 
bondmen,2 
mirth,2 
sorry,2 
raise,2 
money,2 
worst,2 
lovedst,2 
grief,2 
illtemperd,2 
forgetful,2 
generals,2 
generals,2 
bowl,2 
died,2 
drinks,2 
power,2 
marching,2 
bound,2 
talk,2 
gown,2 
gown,2 
canst,2 
boy,2 
duty,2 
art,2 
comest,2 
ghost,2 
battles,2 
until,2 
blows,2 
strokes,2 
witness,2 
showd,2 
school,2 
set,2 
parting,2 
push,2 
tents,2 
spurs,2 
news,2 
killd,2 
mistrust,2 
success,2 
error,2 
thrusting,2 
ears,2 
cato,2 
slain,2 
alarums,2 
wheer,2 
countrys,2 
safe,2 
assure,2 
whispers,2 
runs,2 
attain,2 
bones,2 
tragedy,1 
william,1 
shakespeare,1 
dramatis,1 
personae,1 
statesman,1 
later,1 
augustus,1 
emperor,1 
member,1 
triumvirate,1 
leader,1 
instigator,1 
conspirator,1 
senator,1 
tribune,1 
tribune,1 
supportor,1 
teacher,1 
rhetoric,1 
commoners,1 
servants,1 
plains,1 
mechanical,1 
walk,1 
laboring,1 
sign,1 
profession,1 
carpenter,1 
apron,1 
rule,1 
apparel,1 
fine,1 
workman,1 
cobbler,1 
conscience,1 
mender,1 
soles,1 
naughty,1 
trade,1 
meanst,1 
saucy,1 
cobble,1 
cobbler,1 
meddle,1 
tradesmans,1 
womens,1 
surgeon,1 
recover,1 
trod,1 
neats,1 
handiwork,1 
shop,1 
get,1 
tributaries,1 
captive,1 
bonds,1 
wheels,1 
blocks,1 
senseless,1 
oft,1 
climbd,1 
battlements,1 
towers,1 
chimney,1 
tops,1 
sat,1 
livelong,1 
expectation,1 
universal,1 
trembled,1 
banks,1 
replication,1 
sounds,1 
concave,1 
attire,1 
cull,1 
holiday,1 
strew,1 
flowers,1 
houses,1 
intermit,1 
plague,1 
needs,1 
ingratitude,1 
assemble,1 
banks,1 
channel,1 
lowest,1 
stream,1 
shores,1 
basest,1 
metal,1 
vanish,1 
tonguetied,1 
